Product ID,Product Name,Description,Price ID,Retail Price
prod_Pk9N8gPpKaioxO,Myesquire Ceramic Burner Pot Lemongrass Liquid Air Freshener,Buy Myesquire Ceramic Burner Pot Lemongrass Liquid Air Freshener for Rs.245 online. Myesquire Ceramic Burner Pot Lemongrass Liquid Air Freshener at best prices with FREE shipping & cash on delivery. O,price_1Ouf4SJDw3WYrLo56nwueKDQ,5
prod_Pk9NaxWwoiluyj,"BlueStone The Golden Arm Yellow Gold Diamond, Pearl 18 K Ring","BlueStone The Golden Arm Yellow Gold Diamond, Pearl 18 K Ring - Buy BlueStone The Golden Arm Yellow Gold Diamond, Pearl 18 K Ring only for Rs. 24624 from Flipkart.com. Only Genuine Products. 30 Day Re",price_1Ouf4TJDw3WYrLo5m6gNIwQx,223
prod_Pk9NRoJEp5M1iA,612 League Girl's Gathered Dress,612 League Girl's Gathered Dress - Buy ROYAL 612 League Girl's Gathered Dress For Only Rs. 1045 Online in India. Shop Online For Apparels. Huge Collection of Branded Clothes Only at Flipkart.com,price_1Ouf4TJDw3WYrLo5R5Bs9Qse,11
prod_Pk9NyuzzyWblzg,612 League Girl's Gathered Dress,612 League Girl's Gathered Dress - Buy YELLOW 612 League Girl's Gathered Dress For Only Rs. 1095 Online in India. Shop Online For Apparels. Huge Collection of Branded Clothes Only at Flipkart.com,price_1Ouf4UJDw3WYrLo5gzwDxUwV,11
prod_Pk9NpJle3gmgSZ,612 League Girl's Gathered Dress,612 League Girl's Gathered Dress - Buy WHITE 612 League Girl's Gathered Dress For Only Rs. 1095 Online in India. Shop Online For Apparels. Huge Collection of Branded Clothes Only at Flipkart.com,price_1Ouf4VJDw3WYrLo5lBHPAGq6,11
prod_Pk9NMKV700ldRG,612 League Girl's Gathered Dress,612 League Girl's Gathered Dress - Buy PINK 612 League Girl's Gathered Dress For Only Rs. 1045 Online in India. Shop Online For Apparels. Huge Collection of Branded Clothes Only at Flipkart.com,price_1Ouf4WJDw3WYrLo5E3wIEiRs,11
prod_Pk9Nkpk2FwOuaG,Cation Casual Short Sleeve Solid Women's Top,Cation Casual Short Sleeve Solid Women's Top - Buy Red Cation Casual Short Sleeve Solid Women's Top For Only Rs. 1200 Online in India. Shop Online For Apparels. Huge Collection of Branded Clothes Only,price_1Ouf4XJDw3WYrLo5sojaczfv,12
prod_Pk9NeWoo3YwJbo,Blacksoul Casual Short Sleeve Solid Women's Top,Blacksoul Casual Short Sleeve Solid Women's Top - Buy Cranberry Blacksoul Casual Short Sleeve Solid Women's Top For Only Rs. 1099 Online in India. Shop Online For Apparels. Huge Collection of Branded ,price_1Ouf4XJDw3WYrLo5grM5NMiw,11
prod_Pk9NzeWWiHSMDE,Jewlook Neck Tie Men's  Combo,Jewlook Neck Tie Men's  Combo - Buy Jewlook Neck Tie Men's  Combo For Only Rs. 1799 Online in India. Shop Online For Apparels. Huge Collection of Branded Clothes Only at Flipkart.com,price_1Ouf4YJDw3WYrLo5S37nvhDY,18
prod_Pk9NGO5jSDStVG,Palette Casual Sleeveless Solid Women's Top,Palette Casual Sleeveless Solid Women's Top - Buy Purple Palette Casual Sleeveless Solid Women's Top For Only Rs. 1099 Online in India. Shop Online For Apparels. Huge Collection of Branded Clothes Onl,price_1Ouf4ZJDw3WYrLo5g3YcfdED,11
prod_Pk9NqpIzCSJt9p,Rampwalk Casual Sleeveless Solid Women's Top,"Rampwalk Casual Sleeveless Solid Women's Top
                         Price: Rs. 399
				
			Strike some glamour into your look in this flattering tank top. Amazingly comfortable, made to compliment y",price_1Ouf4aJDw3WYrLo5NfNdpiUd,9
prod_Pk9NRv7iMiBGwq,Rampwalk Casual Sleeveless Solid Women's Top,"Rampwalk Casual Sleeveless Solid Women's Top
                         Price: Rs. 399
				
			Strike some glamour into your look in this flattering tank top. Amazingly comfortable, made to compliment y",price_1Ouf4bJDw3WYrLo5uyMoYIBt,9
prod_Pk9NiTO8mHAJ1i,The Vanca Casual 3/4 Sleeve Polka Print Women's Top,"The Vanca Casual 3/4 Sleeve Polka Print Women's Top
                         Price: Rs. 571
				
			Yellow Color Top In Cotton Swiss Dot Fabric-3/4th Sleeves
Yellow Color Top In Cotton Swiss Dot Fabri",price_1Ouf4cJDw3WYrLo5TEktlkoc,13
prod_Pk9Nidv3PZQndB,The Vanca Casual 3/4 Sleeve Solid Women's Top,"The Vanca Casual 3/4 Sleeve Solid Women's Top
                         Price: Rs. 571
				
			Fuchsia Color Casual Top With Overlapping And Smoking Detail- 3/4th Sleeves
Fuchsia Color Casual Top With ",price_1Ouf4cJDw3WYrLo5dQxyXMa0,13
